provinceId,province_name,regionId,province_name_eng,zoneId
1,กรุงเทพมหานคร,7,Bangkok,1
2,นนทบุรี,1,Nonthaburi,2
3,ปทุมธานี,1,Pathum Thani,2
4,นครปฐม,1,Nakhon Pathom,3
5,สมุทรสาคร,1,Samut Sakhon,3
6,พระนครศรีอยุธยา,1,Phra Nakhon Si Ayutthaya,4
7,อ่างทอง,1,Ang Thong,4
8,สิงห์บุรี,1,Sing Buri,4
9,ลพบุรี,1,Lop Buri,5
10,สระบุรี,1,Saraburi,5
11,สุพรรณบุรี,1,Suphan Buri,6
12,ชัยนาท,1,Chai Nat,6
13,กาญจนบุรี,1,Kanchanaburi,7
14,ราชบุรี,1,Ratchaburi,7
15,ฉะเชิงเทรา,1,Chachoengsao,8
16,นครนายก,1,Nakhon Nayok,8
17,ปราจีนบุรี,1,Prachin Buri,9
18,สระแก้ว,1,Sa Kaeo,9
19,เพชรบุรี,1,Phetchaburi,10
20,ประจวบคีรีขันธ์,1,Prachuap Khiri Khan,10
21,ชลบุรี,2,Chon Buri,11
22,ระยอง,2,Rayong,11
23,จันทรบุรี,2,Chanthaburi,12
24,ตราด,2,Trat,12
25,ชุมพร,5,Chumphon,13
26,ระนอง,5,Ranong,13
27,สุราษฎร์ธานี,5,Surat Thani,14
28,พังงา,5,Phang Nga,14
29,ภูเก็ต,5,Phuket,14
30,นครศรีธรรมราช,5,Nakhon Si Thammarat,15
31,พัทลุง,5,Phatthalung,15
32,กระบี่,5,Krabi,16
33,ตรัง,5,Trang,16
34,สงขลา,5,Songkhla,17
35,สตูล,5,Satun,17
36,ปัตตานี,5,Pattani,18
37,ยะลา,5,Yala,18
38,นราธิวาส,5,Narathiwat,18
39,นครราชสีมา,6,Nakhon Ratchasima,19
40,ชัยภูมิ,6,Chaiyaphum,19
41,บุรีรัมย์,6,Buri Ram,20
42,สุรินทร์,6,Surin,20
43,ศรีสะเกษ,6,Si Sa Ket,21
44,อุบลราชธานี,6,Ubon Ratchathani,21
45,อำนาจเจริญ,6,Amnat Charoen,21
46,ยโสธร,6,Yasothon,21
47,ร้อยเอ็ด,6,Roi Et,22
48,กาฬสินธุ์,6,Kalasin,22
49,มุกดาหาร,6,Mukdahan,22
50,ขอนแก่น,6,Khon Kaen,23
51,มหาสารคาม,6,Maha Sarakham,23
52,บึงกาฬ,6,Bueng Kan,24
53,สกลนคร,6,Sakon Nakhon,24
54,นครพนม,6,Nakhon Phanom,24
55,อุดรธานี,6,Udon Thani,25
56,หนองคาย,6,Nong Khai,25
57,หนองบัวลำภู,6,Nong Bua Lam Phu,26
58,เลย,6,Loei,26
59,อุทัยธานี,4,Uthai Thani,27
60,นครสวรรค์,4,Nakhon Sawan,27
61,กำแพงเพชร,4,Kamphaeng Phet,28
62,พิจิตร,4,Phichit,28
63,ตาก,4,Tak,29
64,สุโขทัย,4,Sukhothai,29
65,อุตรดิตถ์,4,Uttaradit,29
66,พิษณุโลก,4,Phitsanulok,30
67,เพชรบูรณ์,4,Phetchabun,30
68,แพร่,4,Phrae,31
69,น่าน,4,Nan,31
70,เชียงราย,4,Chiang Rai,32
71,พะเยา,4,Phayao,32
72,ลำปาง,4,Lampang,33
73,ลำพูน,4,Lamphun,33
74,เชียงใหม่,4,Chiang Mai,34
75,แม่ฮ่องสอน,4,Mae Hong Son,34
76,สมุทรปราการ,1,Samut Prakan,2
77,สมุทรสงคราม,1,Samut Songkhram,2
