zoneId,zone_name,regionId
1,C1_BANGKOK,7
2,C2_CENTRAL,1
3,C3_CENTRAL,1
4,C4_CENTRAL,1
5,C5_CENTRAL,1
6,C6_CENTRAL,1
7,C7_CENTRAL,1
8,C8_CENTRAL,1
9,C9_CENTRAL,1
10,C10_CENTRAL,1
11,E1_East,2
12,E2_East,2
13,S1_South,5
14,S2_South,5
15,S3_South,5
16,S4_South,5
17,S5_South,5
18,S6_South,5
19,NE1_NorthEast,6
20,NE2_NorthEast,6
21,NE3_NorthEast,6
22,NE4_NorthEast,6
23,NE5_NorthEast,6
24,NE6_NorthEast,6
25,NE7_NorthEast,6
26,NE8_NorthEast,6
27,N1_North,4
28,N2_North,4
29,N3_North,4
30,N4_North,4
31,N5_North,4
32,N6_North,4
33,N7_North,4
34,N8_North,4
